"","Date","ID","pH","Replicate","Num","Run","Fed_Unfed","Time_period","AlgaeLossRatio","ClearanceRate_L_hour_mm"
"1","20210914","7.5_Run_1_Rep_A_Num_1","7.5","A","1","1",NA,"0-90",2.52207293666027,0.00668780517661411
"2","20210914","7.5_Run_1_Rep_B_Num_1","7.5","B","1","1",NA,"0-90",1.87482419127989,0.00392689956472623
"3","20210914","7.5_Run_1_Rep_C_Num_1","7.5","C","1","1",NA,"0-90",2.77079107505071,0.00511982654346423
"4","20210914","8_Run_1_Rep_A_Num_1","8","A","1","1",NA,"0-90",1.34359483614697,0.00185109403326202
"5","20210914","8_Run_1_Rep_B_Num_1","8","B","1","1",NA,"0-90",1.73663624511082,0.00276513897504972
"6","20210914","8_Run_1_Rep_C_Num_1","8","C","1","1",NA,"0-90",1.21594982078853,0.000680421023759259
"7","20210914","7.5_Run_2_Rep_A_Num_2","7.5","A","2","2",NA,"0-90",1.74504950495049,0.0031822705112572
"8","20210914","7.5_Run_2_Rep_B_Num_2","7.5","B","2","2",NA,"0-90",7.046875,0.0107377567190427
"9","20210914","7.5_Run_2_Rep_D_Num_1","7.5","D","1","2",NA,"0-90",2.76709796672828,0.00540008196588602
"10","20210914","8_Run_2_Rep_A_Num_2","8","A","2","2",NA,"0-90",2.51423487544484,0.00459311387384979
"11","20210914","8_Run_2_Rep_B_Num_2","8","B","2","2",NA,"0-90",1.57222844344905,0.00276602525354267
"12","20210914","8_Run_2_Rep_D_Num_1","8","D","1","2",NA,"0-90",2.09728867623604,0.00395023654699622
"13","20210914","7.5_Run_3_Rep_A_Num_3","7.5","A","3","3",NA,"0-90",1.19592628516004,0.000329413036558369
"14","20210914","7.5_Run_3_Rep_C_Num_2","7.5","C","2","3",NA,"0-90",1.53554502369668,0.00182632130168786
"15","20210914","7.5_Run_3_Rep_D_Num_2","7.5","D","2","3",NA,"0-90",1.60526315789474,0.00212413804056893
"16","20210914","8_Run_3_Rep_A_Num_3","8","A","3","3",NA,"0-90",1.12084063047285,9.88140760940888e-05
"17","20210914","8_Run_3_Rep_C_Num_2","8","C","2","3",NA,"0-90",1.54021608643457,0.00223935585065576
"18","20210914","8_Run_3_Rep_D_Num_2","8","D","2","3",NA,"0-90",3.44358974358974,0.00541414569905138
"19","20210914","7.5_Run_4_Rep_B_Num_3","7.5","B","3","4",NA,"0-90",2.01371951219512,0.00297936408051076
"20","20210914","7.5_Run_4_Rep_C_Num_3","7.5","C","3","4",NA,"0-90",1.41069518716578,0.0016248971079561
"21","20210914","7.5_Run_4_Rep_D_Num_3","7.5","D","3","4",NA,"0-90",1.3395853899309,0.00137362267426885
"22","20210914","8_Run_4_Rep_B_Num_3","8","B","3","4",NA,"0-90",1.25260416666667,0.000957081969025918
"23","20210914","8_Run_4_Rep_C_Num_3","8","C","3","4",NA,"0-90",1.14358108108108,0.000295010048728787
"24","20210914","8_Run_4_Rep_D_Num_3","8","D","3","4",NA,"0-90",1.78926701570681,0.00269067316344273
"25","20210930","7.5_unfed_Run_1_Rep_A_Num_2","7.5","A","2","1","unfed","0-60",1.18524727577536,0.000985636436871193
"26","20210930","7.5_unfed_Run_1_Rep_A_Num_3","7.5","A","3","1","unfed","0-60",1.4111328125,0.00236671690617577
"27","20210930","7.5_fed_Run_1_Rep_A_Num_1","7.5","A","1","1","fed","0-60",2.58464566929134,0.0059410483231627
"28","20210930","7.5_unfed_Run_1_Rep_A_Num_1","7.5","A","1","1","unfed","0-60",1.15378610460578,0.000776771843458417
"29","20210930","7.5_fed_Run_1_Rep_A_Num_2","7.5","A","2","1","fed","0-60",1.32675814751286,0.0021881940123504
"30","20210930","7.5_unfed_Run_2_Rep_A_Num_4","7.5","A","4","2","unfed","0-60",1.25327868852459,0.00178468372432798
"31","20210930","7.5_fed_Run_2_Rep_A_Num_4","7.5","A","4","2","fed","0-60",1.63897435897436,0.00283089135768768
"32","20210930","7.5_unfed_Run_2_Rep_A_Num_5","7.5","A","5","2","unfed","0-60",1.36096049573974,0.00207444681206202
"33","20210930","7.5_unfed_Run_1_Rep_B_Num_2","7.5","B","2","1","unfed","0-60",1.04792560801144,-0.000147484159789789
"34","20210930","7.5_fed_Run_1_Rep_B_Num_3","7.5","B","3","1","fed","0-60",1.20890099909173,0.00117848535615908
"35","20210930","7.5_fed_Run_1_Rep_B_Num_1","7.5","B","1","1","fed","0-60",1.29320722269991,0.0013782639842712
"36","20210930","7.5_unfed_Run_1_Rep_B_Num_1","7.5","B","1","1","unfed","0-60",1.4010582010582,0.00176950190427982
"37","20210930","7.5_fed_Run_1_Rep_B_Num_2","7.5","B","2","1","fed","0-60",1.33420138888889,0.00209285269853578
"38","20210930","7.5_fed_Run_2_Rep_B_Num_5","7.5","B","5","2","fed","0-60",2.17887323943662,0.00452023895459233
"39","20210930","7.5_unfed_Run_1_Rep_C_Num_2","7.5","C","2","1","unfed","0-60",1.20108205590622,0.00110345718602093
"40","20210930","7.5_fed_Run_1_Rep_C_Num_3","7.5","C","3","1","fed","0-60",1.03612605687932,-0.000239078802638668
"41","20210930","7.5_fed_Run_1_Rep_C_Num_1","7.5","C","1","1","fed","0-60",1.28218243819267,0.00137816745254096
"42","20210930","7.5_unfed_Run_1_Rep_C_Num_1","7.5","C","1","1","unfed","0-60",1.22129086336966,0.00128951203206727
"43","20210930","7.5_fed_Run_1_Rep_C_Num_2","7.5","C","2","1","fed","0-60",1.43854166666667,0.00193310497902531
"44","20210930","7.5_fed_Run_2_Rep_C_Num_4","7.5","C","4","2","fed","0-60",5.24125874125874,0.00764543456599226
"45","20210930","7.5_fed_Run_2_Rep_C_Num_5","7.5","C","5","2","fed","0-60",1.41625207296849,0.00209617370520806
"46","20210930","7.5_fed_Run_1_Rep_D_Num_2","7.5","D","2","1","fed","0-60",1.48293691830403,0.00213592568505629
"47","20210930","7.5_fed_Run_1_Rep_D_Num_3","7.5","D","3","1","fed","0-60",10.4285714285714,0.0140122763481359
"48","20210930","7.5_fed_Run_1_Rep_D_Num_1","7.5","D","1","1","fed","0-60",1.38292253521127,0.00203441195330356
"49","20210930","7.5_fed_Run_2_Rep_D_Num_4","7.5","D","4","2","fed","0-60",2.47083926031294,0.00576121374041174
"50","20210930","7.5_unfed_Run_2_Rep_D_Num_5","7.5","D","5","2","unfed","0-60",1.03343465045593,-0.000269570287222071
"51","20210930","7.5_unfed_Run_2_Rep_D_Num_4","7.5","D","4","2","unfed","0-60",1.10901749663526,0.000634867517101659
"52","20210930","7.5_fed_Run_2_Rep_D_Num_5","7.5","D","5","2","fed","0-60",1.36030103480715,0.0011621885181539
"53","20210930","8_unfed_Run_1_Rep_A_Num_2","8","A","2","1","unfed","0-60",1.54817987152034,0.00336206706555409
"54","20210930","8_fed_Run_1_Rep_A_Num_3","8","A","3","1","fed","0-60",3.72727272727273,0.00613785471240036
"55","20210930","8_unfed_Run_1_Rep_A_Num_3","8","A","3","1","unfed","0-60",1.29304029304029,0.00161147212588622
"56","20210930","8_fed_Run_1_Rep_A_Num_1","8","A","1","1","fed","0-60",3.07760532150776,0.00708290696688652
"57","20210930","8_unfed_Run_1_Rep_A_Num_1","8","A","1","1","unfed","0-60",1.08484848484848,0.000139892499197324
"58","20210930","8_fed_Run_1_Rep_A_Num_2","8","A","2","1","fed","0-60",1.56785714285714,0.002487016359997
"59","20210930","8_unfed_Run_2_Rep_A_Num_4","8","A","4","2","unfed","0-60",1.41152263374486,0.00247184135226996
"60","20210930","8_fed_Run_2_Rep_A_Num_5","8","A","5","2","fed","0-60",13.4040404040404,0.013939631840164
"61","20210930","8_fed_Run_2_Rep_A_Num_4","8","A","4","2","fed","0-60",1.29868114817688,0.00187802449512266
"62","20210930","8_unfed_Run_2_Rep_A_Num_5","8","A","5","2","unfed","0-60",1.50915431560593,0.00274840912394684
"63","20210930","8_unfed_Run_1_Rep_B_Num_2","8","B","2","1","unfed","0-60",1.17523167649537,0.000816054984772053
"64","20210930","8_fed_Run_1_Rep_B_Num_3","8","B","3","1","fed","0-60",8.32369942196532,0.0108502770727508
"65","20210930","8_unfed_Run_1_Rep_B_Num_3","8","B","3","1","unfed","0-60",1.75471698113208,0.00390475011460781
"66","20210930","8_unfed_Run_1_Rep_B_Num_3","8","B","3","1","unfed","0-60",1.75471698113208,0.00301277745619381
"67","20210930","8_unfed_Run_1_Rep_B_Num_3","8","B","3","1","unfed","0-60",1.34522661523626,0.00180399838674065
"68","20210930","8_unfed_Run_1_Rep_B_Num_3","8","B","3","1","unfed","0-60",1.34522661523626,0.00139190614278992
"69","20210930","8_fed_Run_1_Rep_B_Num_1","8","B","1","1","fed","0-60",1.08769230769231,9.17581206573877e-05
"70","20210930","8_unfed_Run_1_Rep_B_Num_1","8","B","1","1","unfed","0-60",2.76991150442478,0.00584819914229596
"71","20210930","8_fed_Run_1_Rep_B_Num_2","8","B","2","1","fed","0-60",4.73221757322176,0.00730737836952852
"72","20210930","8_unfed_Run_2_Rep_B_Num_4","8","B","4","2","unfed","0-60",1.25931928687196,0.00117334615332713
"73","20210930","8_unfed_Run_2_Rep_B_Num_5","8","B","5","2","unfed","0-60",1.43866535819431,0.00248190962986893
"74","20210930","8_fed_Run_2_Rep_B_Num_4","8","B","4","2","fed","0-60",4.75063613231552,0.007541296288117
"75","20210930","8_fed_Run_2_Rep_B_Num_5","8","B","5","2","fed","0-60",1.9269588313413,0.00382390827991092
"76","20210930","8_unfed_Run_1_Rep_C_Num_2","8","C","2","1","unfed","0-60",1.13220338983051,0.000596478843718039
"77","20210930","8_fed_Run_1_Rep_C_Num_3","8","C","3","1","fed","0-60",2.33227344992051,0.00551555029855534
"78","20210930","8_fed_Run_1_Rep_C_Num_1","8","C","1","1","fed","0-60",1.30294396961064,0.00162372684444066
"79","20210930","8_unfed_Run_1_Rep_C_Num_1","8","C","1","1","unfed","0-60",1.18879056047198,0.000943115050402269
"80","20210930","8_fed_Run_1_Rep_C_Num_2","8","C","2","1","fed","0-60",1.23364485981308,0.0011821305103042
"81","20210930","8_fed_Run_2_Rep_C_Num_4","8","C","4","2","fed","0-60",1.14157119476268,0.000532225468339124
"82","20210930","8_fed_Run_2_Rep_C_Num_5","8","C","5","2","fed","0-60",1.05655526992288,-0.000145575602859593
"83","20210930","8_unfed_Run_2_Rep_C_Num_5","8","C","5","2","unfed","0-60",1.07571623465211,4.74070028341297e-05
"84","20210930","8_fed_Run_1_Rep_D_Num_2","8","D","2","1","fed","0-60",1.44155844155844,0.00239647541177546
"85","20210930","8_unfed_Run_1_Rep_D_Num_2","8","D","2","1","unfed","0-60",1.41622760800843,0.00223053927587981
"86","20210930","8_fed_Run_1_Rep_D_Num_1","8","D","1","1","fed","0-60",1.25625920471281,0.000720264417888298
"87","20210930","8_unfed_Run_1_Rep_D_Num_1","8","D","1","1","unfed","0-60",1.70567375886525,0.00327995123127146
"88","20210930","8_unfed_Run_2_Rep_D_Num_4","8","D","4","2","unfed","0-60",1.16194968553459,0.00092178780294676
"89","20210930","8_fed_Run_2_Rep_D_Num_5","8","D","5","2","fed","0-60",2.96055226824458,0.00712391838916339
"90","20210930","8_fed_Run_2_Rep_D_Num_5","8","D","5","2","fed","0-60",2.96055226824458,0.00615505320927654
"91","20210930","8_unfed_Run_2_Rep_D_Num_5","8","D","5","2","unfed","0-60",1.01771653543307,-0.000678044049919624
